Zodiac Sign,Compatible Signs,Characteristics,Common Attributes,Compatibility Score
Aries,"Leo, Sagittarius, Gemini, Aquarius","Courageous, confident, passionate","Fire element, Cardinal quality, Ruling planet: Mars",9
Taurus,"Virgo, Capricorn, Cancer, Pisces","Reliable, patient, determined","Earth element, Fixed quality, Ruling planet: Venus",8.5
Gemini,"Libra, Aquarius, Aries, Leo","Adaptable, curious, sociable","Air element, Mutable quality, Ruling planet: Mercury",8.7
Cancer,"Scorpio, Pisces, Taurus, Virgo","Nurturing, intuitive, empathetic","Water element, Cardinal quality, Ruling planet: Moon",8.3
Leo,"Aries, Sagittarius, Gemini, Libra","Charismatic, generous, loyal","Fire element, Fixed quality, Ruling planet: Sun",9.2
Virgo,"Taurus, Capricorn, Cancer, Scorpio","Practical, analytical, diligent","Earth element, Mutable quality, Ruling planet: Mercury",8.4
Libra,"Gemini, Aquarius, Leo, Sagittarius","Diplomatic, cooperative, fair-minded","Air element, Cardinal quality, Ruling planet: Venus",8.9
Scorpio,"Cancer, Pisces, Virgo, Capricorn","Passionate, determined, resourceful","Water element, Fixed quality, Ruling planet: Pluto",8.6
Sagittarius,"Aries, Leo, Libra, Aquarius","Adventurous, optimistic, philosophical","Fire element, Mutable quality, Ruling planet: Jupiter",9.1
Capricorn,"Taurus, Virgo, Scorpio, Pisces","Ambitious, disciplined, responsible","Earth element, Cardinal quality, Ruling planet: Saturn",8
Aquarius,"Gemini, Libra, Sagittarius, Aries","Independent, progressive, humanitarian","Air element, Fixed quality, Ruling planet: Uranus",8.8
Pisces,"Cancer, Scorpio, Capricorn, Taurus","Compassionate, artistic, intuitive","Water element, Mutable quality, Ruling planet: Neptune",7.9
,,,,
,,,,
,,,,
,,,,
,,,,
